Date,Open,High,Low,Close,Adj Close,Volume
2020-12-11,1.214344,1.216397,1.210786,1.214429,1.214429,0
2020-12-14,1.213357,1.217404,1.211754,1.213340,1.213340,0
2020-12-15,1.214875,1.216649,1.212695,1.214890,1.214890,0
2020-12-16,1.215377,1.221300,1.214698,1.215430,1.215430,0
2020-12-17,1.219706,1.226300,1.219245,1.219959,1.219959,0
2020-12-18,1.226196,1.226843,1.222718,1.226272,1.226272,0
2020-12-21,1.221061,1.223466,1.213077,1.221613,1.221613,0
2020-12-22,1.223840,1.225900,1.216604,1.223691,1.223691,0
2020-12-23,1.218591,1.221941,1.215776,1.218665,1.218665,0
2020-12-24,1.219393,1.221747,1.217938,1.219141,1.219141,0
2020-12-25,1.218472,1.221300,1.216700,1.218472,1.218472,0
2020-12-28,1.220703,1.225200,1.218353,1.220510,1.220510,0
2020-12-29,1.222001,1.227599,1.222001,1.222345,1.222345,0
2020-12-30,1.225325,1.230875,1.225205,1.225295,1.225295,0
2020-12-31,1.229906,1.230951,1.222300,1.229990,1.229990,0
2021-01-01,1.217285,1.221699,1.213499,1.218027,1.218027,0
2021-01-04,1.224905,1.230999,1.217137,1.225070,1.225070,0
2021-01-05,1.225295,1.229483,1.224995,1.225160,1.225160,0
2021-01-06,1.229861,1.235025,1.226693,1.230027,1.230027,0
2021-01-07,1.233776,1.234568,1.224665,1.234111,1.234111,0
2021-01-08,1.226873,1.228215,1.221493,1.227144,1.227144,0
2021-01-11,1.218784,1.219959,1.213474,1.218621,1.218621,0
2021-01-12,1.216160,1.217849,1.213887,1.216070,1.216070,0
2021-01-13,1.220927,1.222494,1.215539,1.220889,1.220889,0
2021-01-14,1.216175,1.217285,1.211314,1.216249,1.216249,0
2021-01-15,1.215300,1.216249,1.208474,1.215126,1.215126,0
2021-01-18,1.206724,1.208620,1.205545,1.206811,1.206811,0
2021-01-19,1.207846,1.214491,1.207846,1.207729,1.207729,0
2021-01-20,1.213946,1.216001,1.207773,1.213887,1.213887,0
2021-01-21,1.211534,1.217196,1.210991,1.211563,1.211563,0
2021-01-22,1.216619,1.218800,1.215200,1.216629,1.216629,0
2021-01-25,1.216856,1.218600,1.211725,1.216945,1.216945,0
2021-01-26,1.214329,1.217500,1.210844,1.214624,1.214624,0
2021-01-27,1.216323,1.217137,1.206200,1.216299,1.216299,0
2021-01-28,1.210478,1.214400,1.208240,1.210507,1.210507,0
2021-01-29,1.212136,1.215701,1.209599,1.212004,1.212004,0
2021-02-01,1.212283,1.213607,1.206913,1.212386,1.212386,0
2021-02-02,1.206768,1.208795,1.201836,1.206869,1.206869,0
2021-02-03,1.203905,1.204999,1.200495,1.203905,1.203905,0
2021-02-04,1.204181,1.204384,1.196716,1.204239,1.204239,0
2021-02-05,1.196745,1.203978,1.195357,1.196673,1.196673,0
2021-02-08,1.204935,1.206855,1.202140,1.204877,1.204877,0
2021-02-09,1.205255,1.211475,1.205020,1.205360,1.205360,0
2021-02-10,1.211695,1.214373,1.211020,1.211999,1.211999,0
2021-02-11,1.211945,1.215099,1.211431,1.212121,1.212121,0
2021-02-12,1.213003,1.213592,1.208399,1.213151,1.213151,0
2021-02-15,1.212106,1.214699,1.211739,1.212209,1.212209,0
2021-02-16,1.213239,1.217100,1.209585,1.213220,1.213220,0
2021-02-17,1.208854,1.209834,1.202559,1.209248,1.209248,0
