Date,Open,High,Low,Close,Adj Close,Volume
2020-12-11,1838.500000,1846.000000,1829.099976,1839.800049,1839.800049,109
2020-12-14,1835.500000,1835.699951,1822.699951,1828.699951,1828.699951,258
2020-12-15,1833.500000,1853.599976,1833.199951,1852.300049,1852.300049,961
2020-12-16,1856.500000,1864.699951,1850.500000,1856.099976,1856.099976,1090
2020-12-17,1874.199951,1896.199951,1874.199951,1887.199951,1887.199951,414
2020-12-18,1882.400024,1889.500000,1882.300049,1885.699951,1885.699951,276
2020-12-21,1884.800049,1908.000000,1869.099976,1879.199951,1879.199951,136
2020-12-22,1882.199951,1882.199951,1861.000000,1866.599976,1866.599976,233
2020-12-23,1867.000000,1878.800049,1864.500000,1874.699951,1874.699951,82
2020-12-24,null,null,null,null,null,null
2020-12-28,1895.500000,1895.800049,1873.699951,1877.199951,1877.199951,75
2020-12-29,1881.300049,1881.300049,1879.699951,1879.699951,1879.699951,343
2020-12-30,1879.900024,1895.800049,1877.300049,1891.000000,1891.000000,444
2020-12-31,1897.000000,1901.300049,1892.699951,1893.099976,1893.099976,127
2021-01-04,1912.199951,1945.099976,1912.199951,1944.699951,1944.699951,154
2021-01-05,1941.699951,1952.699951,1941.300049,1952.699951,1952.699951,113
2021-01-06,1952.000000,1959.900024,1901.500000,1906.900024,1906.900024,331
2021-01-07,1922.599976,1926.699951,1912.000000,1912.300049,1912.300049,122
2021-01-08,1908.000000,1908.000000,1834.099976,1834.099976,1834.099976,60
2021-01-11,1826.500000,1849.599976,1826.500000,1849.599976,1849.599976,20
2021-01-12,1849.000000,1859.699951,1839.400024,1842.900024,1842.900024,176
2021-01-13,1858.000000,1858.599976,1853.599976,1853.599976,1853.599976,189
2021-01-14,1836.699951,1850.699951,1836.699951,1850.300049,1850.300049,149
2021-01-15,1829.400024,1829.400024,1825.000000,1829.300049,1829.300049,31
2021-01-19,1802.000000,1842.900024,1802.000000,1839.500000,1839.500000,13
2021-01-20,1847.800049,1866.599976,1844.400024,1865.900024,1865.900024,16
2021-01-21,1865.300049,1868.000000,1865.300049,1865.300049,1865.300049,6
2021-01-22,1854.900024,1855.699951,1852.699951,1855.699951,1855.699951,8
2021-01-25,1864.699951,1864.699951,1851.800049,1854.900024,1854.900024,26
2021-01-26,1855.800049,1855.800049,1850.699951,1850.699951,1850.699951,59
2021-01-27,1844.900024,1844.900024,1844.900024,1844.900024,1844.900024,195540
2021-01-28,1843.400024,1862.900024,1831.500000,1837.900024,1837.900024,27283
2021-01-29,1842.000000,1876.000000,1838.699951,1847.300049,1847.300049,1634
2021-02-01,1866.599976,1871.900024,1850.000000,1860.800049,1860.800049,1494
2021-02-02,1859.599976,1861.300049,1827.599976,1830.500000,1830.500000,1293
2021-02-03,1834.800049,1842.400024,1829.800049,1832.199951,1832.199951,1195
2021-02-04,1832.199951,1832.199951,1782.800049,1788.900024,1788.900024,2375
2021-02-05,1794.300049,1813.500000,1790.900024,1810.900024,1810.900024,1278
2021-02-08,1816.300049,1836.699951,1809.000000,1831.900024,1831.900024,254
2021-02-09,1841.900024,1843.300049,1830.699951,1835.300049,1835.300049,184
2021-02-10,1842.599976,1851.099976,1837.000000,1840.599976,1840.599976,543
2021-02-11,1840.500000,1845.000000,1820.900024,1824.900024,1824.900024,602
2021-02-12,1825.000000,1827.500000,1809.199951,1821.599976,1821.599976,259
2021-02-16,1820.900024,1823.400024,1787.300049,1797.199951,1797.199951,1141
2021-02-17,1785.800049,1789.699951,1768.800049,1771.099976,1771.099976,614
2021-02-18,1776.099976,1784.599976,1766.000000,1773.400024,1773.400024,587
2021-02-19,1764.300049,1787.599976,1764.300049,1775.800049,1775.800049,118
2021-02-22,1784.000000,1807.800049,1784.000000,1806.699951,1806.699951,165
2021-02-23,1809.599976,1811.300049,1796.400024,1804.400024,1804.400024,569
2021-02-24,1805.800049,1805.800049,1796.400024,1796.400024,1796.400024,1500
2021-02-25,1801.500000,1802.000000,1766.699951,1774.400024,1774.400024,1049
2021-02-26,1768.099976,1768.199951,1718.800049,1728.099976,1728.099976,1593
2021-03-01,1737.099976,1747.000000,1720.300049,1722.500000,1722.500000,407
2021-03-02,1709.400024,1733.099976,1708.699951,1733.099976,1733.099976,867
2021-03-03,1730.000000,1732.400024,1703.500000,1715.300049,1715.300049,501
2021-03-04,1706.500000,1717.400024,1700.199951,1700.199951,1700.199951,521
2021-03-05,1690.599976,1701.000000,1685.000000,1698.000000,1698.000000,302
2021-03-08,1704.699951,1705.400024,1673.699951,1677.699951,1677.699951,1290
2021-03-09,1686.199951,1717.500000,1685.199951,1716.599976,1716.599976,335
2021-03-10,1713.599976,1722.900024,1711.000000,1721.500000,1721.500000,412
2021-03-11,1725.599976,1737.500000,1720.199951,1722.300049,1722.300049,18
2021-03-12,1715.900024,1722.500000,1699.000000,1719.500000,1719.500000,80
2021-03-15,1729.500000,1731.900024,1722.800049,1728.900024,1728.900024,147
2021-03-16,1732.300049,1733.900024,1726.000000,1730.599976,1730.599976,729
2021-03-17,1735.300049,1750.099976,1725.599976,1726.800049,1726.800049,488
2021-03-18,1745.800049,1750.300049,1721.800049,1732.199951,1732.199951,138
2021-03-19,1742.199951,1742.199951,1733.599976,1741.400024,1741.400024,13
2021-03-22,1737.800049,1737.800049,1737.800049,1737.800049,1737.800049,51
2021-03-23,1724.699951,1724.699951,1724.699951,1724.699951,1724.699951,6
2021-03-24,1727.500000,1732.900024,1727.500000,1732.900024,1732.900024,26
2021-03-25,1732.699951,1733.199951,1724.500000,1724.900024,1724.900024,15
2021-03-26,1721.300049,1732.199951,1721.300049,1732.199951,1732.199951,33
2021-03-29,1712.099976,1712.099976,1712.099976,1712.099976,1712.099976,135457
2021-03-30,1711.000000,1712.599976,1676.500000,1683.900024,1683.900024,25316
2021-03-31,1683.699951,1713.800049,1676.500000,1713.800049,1713.800049,762
2021-04-01,1706.800049,1728.800049,1706.400024,1726.500000,1726.500000,720
2021-04-05,1727.900024,1729.699951,1721.900024,1727.000000,1727.000000,275
2021-04-06,1726.900024,1744.800049,1726.900024,1741.500000,1741.500000,890
2021-04-07,1742.699951,1742.699951,1733.699951,1740.099976,1740.099976,557
2021-04-08,1736.000000,1758.000000,1734.599976,1756.800049,1756.800049,1298
2021-04-09,1750.800049,1750.800049,1733.300049,1743.300049,1743.300049,484
2021-04-12,1740.800049,1740.800049,1726.699951,1731.199951,1731.199951,40
2021-04-13,1733.800049,1746.900024,1722.099976,1746.199951,1746.199951,367
2021-04-14,1741.300049,1745.900024,1732.699951,1734.900024,1734.900024,1037
2021-04-15,1740.099976,1767.900024,1740.099976,1765.400024,1765.400024,368
2021-04-16,1770.400024,1779.500000,1770.099976,1779.000000,1779.000000,625
2021-04-19,1782.099976,1788.500000,1769.400024,1769.400024,1769.400024,144
2021-04-20,1769.300049,1777.300049,1765.500000,1777.300049,1777.300049,1464
2021-04-21,1783.000000,1794.099976,1777.699951,1792.300049,1792.300049,250
2021-04-22,1794.199951,1794.199951,1779.500000,1781.199951,1781.199951,159
2021-04-23,1786.099976,1794.500000,1772.000000,1777.000000,1777.000000,332
2021-04-26,1778.000000,1779.699951,1770.800049,1779.199951,1779.199951,549
2021-04-27,1780.000000,1782.000000,1777.699951,1778.000000,1778.000000,117
2021-04-28,1768.199951,1774.000000,1764.599976,1773.199951,1773.199951,756
2021-04-29,1781.000000,1789.000000,1758.599976,1768.099976,1768.099976,196
2021-04-30,1771.800049,1771.800049,1763.900024,1767.300049,1767.300049,18
2021-05-03,1788.500000,1793.000000,1788.500000,1791.400024,1791.400024,18
2021-05-04,1788.199951,1788.500000,1774.800049,1775.800049,1775.800049,182
2021-05-05,1781.500000,1784.099976,1779.199951,1784.099976,1784.099976,57
2021-05-06,1788.900024,1815.500000,1787.599976,1815.500000,1815.500000,13
2021-05-07,1842.900024,1842.900024,1831.099976,1831.099976,1831.099976,2
2021-05-10,1835.599976,1845.599976,1835.400024,1837.500000,1837.500000,13
2021-05-11,1837.199951,1838.099976,1831.599976,1835.900024,1835.900024,420
2021-05-12,1825.199951,1825.199951,1821.699951,1822.599976,1822.599976,3
2021-05-13,1814.699951,1826.800049,1814.099976,1823.800049,1823.800049,100
2021-05-14,1824.500000,1842.900024,1824.500000,1837.900024,1837.900024,41
2021-05-17,1849.900024,1867.500000,1847.199951,1867.500000,1867.500000,13
2021-05-18,1870.500000,1870.500000,1867.800049,1867.800049,1867.800049,3
2021-05-19,1866.400024,1884.900024,1863.599976,1881.300049,1881.300049,348
2021-05-20,1865.500000,1885.000000,1864.800049,1881.800049,1881.800049,85
2021-05-21,1872.099976,1876.699951,1872.099976,1876.699951,1876.699951,5
2021-05-24,1882.099976,1884.599976,1882.099976,1884.599976,1884.599976,39
2021-05-25,1882.500000,1898.099976,1882.500000,1898.099976,1898.099976,56
2021-05-26,1901.300049,1901.300049,1901.300049,1901.300049,1901.300049,170526
2021-05-27,1896.800049,1903.900024,1888.199951,1895.699951,1895.699951,35794
2021-05-28,1897.500000,1905.400024,1881.900024,1902.500000,1902.500000,35794
2021-06-01,1906.800049,1916.199951,1892.800049,1897.400024,1897.400024,240247
